date,actual_price,xrp_hybrid_pred
2024-12-08,2.6013,2.663617296984428
2024-12-09,2.2124,2.646219172086377
2024-12-10,2.3709,2.227299436605003
2024-12-11,2.3941,2.3868642738602883
2024-12-12,2.3384,2.406220259361292
2024-12-13,2.4217,2.343706459611983
2024-12-14,2.4005,2.4270504551966368
2024-12-15,2.4469,2.401992697750386
2024-12-16,2.4841,2.4469411485123422
2024-12-17,2.5673,2.4842600821313745
2024-12-18,2.3103,2.5693299799762244
2024-12-19,2.239,2.2982579861500385
2024-12-20,2.2793,2.2234880315393686
2024-12-21,2.238,2.2648175831591613
2024-12-22,2.2031,2.221982334155688
2024-12-23,2.2617,2.1844688287139706
2024-12-24,2.3238,2.2449827272161023
2024-12-25,2.2973,2.3113592432792793
2024-12-26,2.1559,2.287579964068418
2024-12-27,2.1466,2.1397191421269066
2024-12-28,2.1843,2.129566655472055
2024-12-29,2.0942,2.16931061174892
2024-12-30,2.0587,2.0758112258131547
2024-12-31,2.0836,2.0393088204402354
2025-01-01,2.3328,2.06548481974864
2025-01-02,2.4024,2.3269388586411126
2025-01-03,2.4547,2.403174562203304
2025-01-04,2.4201,2.4626184130076743
2025-01-05,2.3994,2.427979286968831
2025-01-06,2.42,2.405669394423758
2025-01-07,2.2712,2.426554991229748
2025-01-08,2.3731,2.2690946332451936
2025-01-09,2.2722,2.3732808641296597
2025-01-10,2.3414,2.266123679792113
2025-01-11,2.5764,2.3373577525639004
2025-01-12,2.5046,2.5847488797239504
2025-01-13,2.5232,2.5103781445474196
2025-01-14,2.6673,2.529321950957227
2025-01-15,3.1429,2.681005622423395
2025-01-16,3.2451,3.1851287210188417
2025-01-17,3.2922,3.296300443577542
2025-01-18,3.2697,3.3446761508417153
2025-01-19,2.9587,3.3179588647271636
2025-01-20,3.1053,2.9829257863945053
2025-01-21,3.1738,3.130976203625058
2025-01-22,3.1803,3.1982854354881685
2025-01-23,3.1194,3.200752938168421
2025-01-24,3.1009,3.1334578588490785
2025-01-25,3.108,3.1087070726202324
2025-01-26,3.0223,3.113065524121755
2025-01-27,3.0552,3.019304195595708
2025-01-28,3.0572,3.049205454997442
2025-01-29,3.0683,3.050214786518384
2025-01-30,3.1276,3.0605971325032733
2025-01-31,3.0361,3.1211738423451023
2025-02-01,2.8778,3.0228574487445514
2025-02-02,2.58,2.85698544169111
2025-02-03,2.7001,2.5460708138107226
2025-02-04,2.5274,2.668590630320272
2025-02-05,2.381,2.4915705907424672
2025-02-06,2.325,2.3395294262807367
2025-02-07,2.3968,2.2817480883407457
2025-02-08,2.419,2.3573184360222297
2025-02-09,2.3928,2.383862893963521
2025-02-10,2.4237,2.3605471851139637
2025-02-11,2.4131,2.395993843462564
2025-02-12,2.4734,2.3888394029373856
2025-02-13,2.5599,2.4544828221338832
2025-02-14,2.7384,2.548020783890129
2025-02-15,2.7619,2.738462599633408
2025-02-16,2.7283,2.7666839118120206
2025-02-17,2.6599,2.7339760569226517
2025-02-18,2.5628,2.663050625735712
